year,cp,name,population,select,mayor,menor
1900,44148,Mezquita de Jarque,327,Mezquita de Jarque,38.77,10.20
1900,44149,Mirambel,835,Mirambel,22.41,12.93
1900,44150,Miravete de la Sierra,486,Miravete de la Sierra,34.28,8.57
1900,44151,Molinos,1405,Molinos,30.04,12.34
1900,44152,Monforte de Moyuela,694,Monforte de Moyuela,44.61,1.53
1900,44153,Monreal del Campo,2330,Monreal del Campo,19.48,19.81
1900,44154,Monroyo,1284,Monroyo,22.35,16.76
1900,44155,Montalbán,2020,Montalbán,26.46,13.43
1900,44156,Monteagudo del Castillo,489,Monteagudo del Castillo,32.00,8.00
1900,44157,Monterde de Albarracín,488,Monterde de Albarracín,49.20,0
1900,44158,Mora de Rubielos,3213,Mora de Rubielos,19.01,17.65
1900,44159,Moscardón,494,Moscardón,21.81,25.45
1900,44160,Mosqueruela,3103,Mosqueruela,31.03,15.06
1900,44161,Muniesa,1860,Muniesa,35.05,16.02
1900,44163,Noguera de Albarracín,489,Noguera de Albarracín,27.06,10.52
1900,44164,Nogueras,359,Nogueras,48.00,8.00
1900,44165,Nogueruelas,1156,Nogueruelas,37.32,13.36
1900,44167,Obón,1257,Obón,48.88,0
1900,44168,Odón,974,Odón,44.39,8.29
1900,44169,Ojos Negros,1436,Ojos Negros,36.60,12.46
1900,44171,Olba,1802,Olba,20.79,16.81
1900,44172,Oliete,2146,Oliete,41.20,9.06
1900,44173,Olmos Los,600,Olmos Los,31.14,13.93
1900,44174,Orihuela del Tremedal,945,Orihuela del Tremedal,25.87,11.29
1900,44175,Orrios,430,Orrios,37.30,3.17
1900,44176,Palomar de Arroyos,612,Palomar de Arroyos,32.54,6.50
1900,44177,Pancrudo,1000,Pancrudo,39.09,9.09
1900,44178,Parras de Castellote Las,1107,Parras de Castellote Las,43.39,0
1900,44179,Peñarroya de Tastavins,1702,Peñarroya de Tastavins,24.60,15.71
1900,44180,Peracense,385,Peracense,38.15,6.57
1900,44181,Peralejos,286,Peralejos,31.81,15.90
1900,44182,Perales del Alfambra,817,Perales del Alfambra,30.76,7.23
1900,44183,Pitarque,938,Pitarque,32.91,8.86
1900,44184,Plou,529,Plou,41.86,6.97
1900,44185,Pobo El,497,Pobo El,35.08,12.28
1900,44187,Portellada La,860,Portellada La,36.62,13.58
1900,44189,Pozondón,539,Pozondón,43.75,2.08
1900,44190,Pozuel del Campo,598,Pozuel del Campo,55.88,1.47
1900,44191,La Puebla de Híjar,1921,La Puebla de Híjar,28.85,14.42
1900,44192,La Puebla de Valverde,1982,La Puebla de Valverde,24.28,14.56
1900,44193,Puertomingalvo,1271,Puertomingalvo,23.21,19.64
1900,44194,Ráfales,859,Ráfales,32.86,11.88
1900,44195,Rillo,502,Rillo,30.10,3.22
1900,44196,Riodeva,716,Riodeva,42.36,10.41
1900,44197,Ródenas,415,Ródenas,42.62,4.91
1900,44198,Royuela,459,Royuela,35.43,12.13
1900,44199,Rubiales,290,Rubiales,26.00,10.00
1900,44200,Rubielos de la Cérida,501,Rubielos de la Cérida,55.26,0
1900,44201,Rubielos de Mora,2284,Rubielos de Mora,22.96,15.78
1900,44203,Salcedillo,155,Salcedillo,5.88,0
1900,44204,Saldón,435,Saldón,50.00,3.84
1900,44205,Samper de Calanda,2647,Samper de Calanda,35.50,12.51
1900,44206,San Agustín,1204,San Agustín,28.00,7.20
1900,44207,San Martín del Río,1330,San Martín del Río,55.40,4.05
1900,44208,Santa Cruz de Nogueras,346,Santa Cruz de Nogueras,40.54,5.40
1900,44209,Santa Eulalia,1164,Santa Eulalia,33.17,12.15
1900,44210,Sarrión,2233,Sarrión,19.59,19.68
1900,44211,Segura de los Baños,795,Segura de los Baños,51.28,0
1900,44212,Seno,453,Seno,43.58,2.56
1900,44213,Singra,399,Singra,35.00,7.50
1900,44215,Terriente,1109,Terriente,39.34,4.91
1900,44216,Teruel,12745,Teruel,19.02,19.34
1900,44217,Toril y Masegoso,366,Toril y Masegoso,26.66,0
1900,44218,Tormón,303,Tormón,54.83,0
1900,44219,Tornos,578,Tornos,39.90,9.38
1900,44220,Torralba de los Sisones,608,Torralba de los Sisones,30.76,14.74
1900,44221,Torrecilla de Alcañiz,1105,Torrecilla de Alcañiz,35.22,8.74
1900,44222,Torrecilla del Rebollar,891,Torrecilla del Rebollar,47.24,1.57
1900,44223,Torre de Arcas,485,Torre de Arcas,30.33,12.35
1900,44224,Torre de las Arcas,545,Torre de las Arcas,21.42,10.71
1900,44225,Torre del Compte,748,Torre del Compte,40.15,6.81
1900,44226,Torrelacárcel,521,Torrelacárcel,48.05,7.79
1900,44227,Torre los Negros,456,Torre los Negros,44.31,4.54
1900,44228,Torremocha de Jiloca,420,Torremocha de Jiloca,38.31,6.54
1900,44229,Torres de Albarracín,591,Torres de Albarracín,30.05,13.66
1900,44230,Torrevelilla,776,Torrevelilla,32.80,14.81
1900,44231,Torrijas,689,Torrijas,36.84,15.78
1900,44232,Torrijo del Campo,1308,Torrijo del Campo,36.46,8.05
1900,44234,Tramacastiel,668,Tramacastiel,34.37,4.68
1900,44235,Tramacastilla,455,Tramacastilla,38.67,11.32
1900,44236,Tronchón,997,Tronchón,41.53,6.15
1900,44237,Urrea de Gaén,1195,Urrea de Gaén,39.22,8.94
1900,44238,Utrillas,712,Utrillas,17.30,16.80
1900,44239,Valacloche,219,Valacloche,52.38,0
1900,44240,Valbona,675,Valbona,39.08,8.62
1900,44241,Valdealgorfa,1665,Valdealgorfa,34.72,12.86
1900,44243,Valdecuenca,320,Valdecuenca,28.57,5.71
1900,44244,Valdelinares,825,Valdelinares,27.58,17.24
1900,44245,Valdeltormo,699,Valdeltormo,38.70,11.46
1900,44246,Valderrobres,3058,Valderrobres,20.22,19.51
1900,44247,Valjunquera,1225,Valjunquera,40.00,13.84
1900,44249,Vallecillo El,467,Vallecillo El,50.00,2.08
1900,44250,Veguillas de la Sierra,292,Veguillas de la Sierra,50.00,0
1900,44251,Villafranca del Campo,988,Villafranca del Campo,36.70,12.45
1900,44252,Villahermosa del Campo,236,Villahermosa del Campo,29.78,9.57
1900,44256,Villanueva del Rebollar de la Sierra,309,Villanueva del Rebollar de la Sierra,38.29,14.89
1900,44257,Villar del Cobo,596,Villar del Cobo,41.46,4.87
1900,44258,Villar del Salz,412,Villar del Salz,45.00,3.33
1900,44260,Villarluengo,2128,Villarluengo,23.16,12.99
1900,44261,Villarquemado,872,Villarquemado,28.65,13.22
1900,44262,Villarroya de los Pinares,1095,Villarroya de los Pinares,28.12,13.75
1900,44263,Villastar,737,Villastar,18.01,18.62
1900,44264,Villel,1182,Villel,27.82,12.53
1900,44265,Vinaceite,544,Vinaceite,33.73,13.25
1900,44266,Visiedo,656,Visiedo,53.60,9.60
1900,44267,Vivel del Río Martín,946,Vivel del Río Martín,49.36,2.53
1900,44268,La Zoma,181,La Zoma,50.00,0
1910,44001,Ababuj,458,,,
1910,44002,Abejuela,711,,,
1910,44003,Aguatón,185,,,
1910,44004,Aguaviva,1793,,,
1910,44005,Aguilar del Alfambra,496,,,
1910,44006,Alacón,1007,,,
1910,44007,Alba,694,,,
1910,44008,Albalate del Arzobispo,4537,,,
1910,44009,Albarracín,1752,,,
1910,44010,Albentosa,1038,,,
1910,44011,Alcaine,1347,,,
1910,44012,Alcalá de la Selva,1647,,,
1910,44013,Alcañiz,8397,,,
1910,44014,Alcorisa,3575,,,
1910,44016,Alfambra,1340,,,
1910,44017,Aliaga,1799,,,
1910,44018,Almohaja,271,,,
1910,44019,Alobras,561,,,
1910,44020,Alpeñés,241,,,
1910,44021,Allepuz,1014,,,
1910,44022,Alloza,1926,,,
1910,44023,Allueva,208,,,
1910,44024,Anadón,391,,,
1910,44025,Andorra,2979,,,
1910,44026,Arcos de las Salinas,1280,,,
1910,44027,Arens de Lledó,766,,,
1910,44028,Argente,710,,,
1910,44029,Ariño,1506,,,
1910,44031,Azaila,778,,,
1910,44032,Bádenas,451,,,
1910,44033,Báguena,1402,,,
1910,44034,Bañón,720,,,
1910,44035,Barrachina,722,,,
1910,44036,Bea,167,,,
1910,44037,Beceite,1902,,,
1910,44038,Belmonte de San José,820,,,
1910,44039,Bello,1145,,,
1910,44040,Berge,804,,,
1910,44041,Bezas,336,,,
1910,44042,Blancas,921,,,
1910,44043,Blesa,1430,,,
1910,44044,Bordón,527,,,
1910,44045,Bronchales,991,,,
1910,44046,Bueña,368,,,
1910,44047,Burbáguena,1168,,,
1910,44048,Cabra de Mora,538,,,
1910,44049,Calaceite,2777,,,
1910,44050,Calamocha,6385,,,
1910,44051,Calanda,4286,,,
1910,44052,Calomarde,431,,,
1910,44053,Camañas,500,,,
1910,44054,Camarena de la Sierra,881,,,
1910,44055,Camarillas,782,,,
1910,44056,Caminreal,1420,,,
1910,44059,Cantavieja,2049,,,
1910,44060,Cañada de Benatanduz,611,,,
1910,44061,Cañada de Verich La,318,,,
1910,44062,Cañada Vellida,192,,,
1910,44063,Cañizar del Olivar,579,,,
1910,44064,Cascante del Río,612,,,
1910,44065,Castejón de Tornos,492,,,
1910,44066,Castel de Cabra,603,,,
1910,44067,Castelnou,549,,,
1910,44068,Castelserás,2154,,,
1910,44070,Castellar El,491,,,
1910,44071,Castellote,5398,,,
1910,44074,Cedrillas,987,,,
1910,44075,Celadas,883,,,
1910,44076,Cella,2751,,,
1910,44077,Cerollera La,465,,,
1910,44080,Codoñera La,1099,,,
1910,44082,Corbalán,480,,,
1910,44084,Cortes de Aragón,531,,,
1910,44085,Cosa,415,,,
1910,44086,Cretas,1698,,,
1910,44087,Crivillén,997,,,
1910,44088,Cuba La,396,,,
1910,44089,Cubla,309,,,
1910,44090,Cucalón,523,,,
1910,44092,Cuervo El,481,,,
1910,44093,Cuevas de Almudén,233,,,
1910,44094,Cuevas Labradas,401,,,
1910,44096,Ejulve,1413,,,
1910,44097,Escorihuela,546,,,
1910,44099,Escucha,751,,,
1910,44100,Estercuel,1256,,,
1910,44101,Ferreruela de Huerva,293,,,
1910,44102,Fonfría,189,,,
1910,44103,Formiche Alto,942,,,
1910,44105,Fórnoles,753,,,
1910,44106,Fortanete,1406,,,
1910,44107,Foz-Calanda,764,,,
1910,44108,Fresneda La,1915,,,
1910,44109,Frías de Albarracín,696,,,
1910,44110,Fuenferrada,407,,,
1910,44111,Fuentes Calientes,253,,,
1910,44112,Fuentes Claras,1179,,,
1910,44113,Fuentes de Rubielos,882,,,
1910,44114,Fuentespalda,938,,,
1910,44115,Galve,450,,,
1910,44116,Gargallo,609,,,
1910,44117,Gea de Albarracín,1110,,,
1910,44118,Ginebrosa La,1152,,,
1910,44119,Griegos,429,,,
1910,44120,Guadalaviar,562,,,
1910,44121,Gúdar,689,,,
1910,44122,Híjar,3776,,,
1910,44123,Hinojosa de Jarque,521,,,
1910,44124,Hoz de la Vieja La,975,,,
1910,44125,Huesa del Común,1432,,,
1910,44126,Iglesuela del Cid La,1486,,,
1910,44127,Jabaloyas,959,,,
1910,44128,Jarque de la Val,290,,,
1910,44129,Jatiel,252,,,
1910,44130,Jorcas,429,,,
1910,44131,Josa,646,,,
1910,44132,Lagueruela,294,,,
1910,44133,Lanzuela,224,,,
1910,44135,Libros,755,,,
1910,44136,Lidón,316,,,
1910,44137,Linares de Mora,1679,,,
1910,44138,Loscos,1522,,,
1910,44141,Lledó,629,,,
1910,44142,Maicas,440,,,
1910,44143,Manzanera,2985,,,
1910,44144,Martín del Río,825,,,
1910,44145,Mas de las Matas,2223,,,
1910,44146,Mata de los Olmos La,467,,,
1910,44147,Mazaleón,1443,,,
1910,44148,Mezquita de Jarque,319,,,
1910,44149,Mirambel,851,,,
1910,44150,Miravete de la Sierra,496,,,
1910,44151,Molinos,1410,,,
1910,44152,Monforte de Moyuela,745,,,
1910,44153,Monreal del Campo,2606,,,
1910,44154,Monroyo,1311,,,
1910,44155,Montalbán,2229,,,
1910,44156,Monteagudo del Castillo,476,,,
1910,44157,Monterde de Albarracín,505,,,
1910,44158,Mora de Rubielos,3101,,,
1910,44159,Moscardón,496,,,
1910,44160,Mosqueruela,3140,,,
1910,44161,Muniesa,1917,,,
1910,44163,Noguera de Albarracín,493,,,
1910,44164,Nogueras,380,,,
1910,44165,Nogueruelas,1244,,,
1910,44167,Obón,1343,,,
1910,44168,Odón,925,,,
1910,44169,Ojos Negros,2573,,,
1910,44171,Olba,1743,,,
1910,44172,Oliete,2533,,,
1910,44173,Olmos Los,586,,,
1910,44174,Orihuela del Tremedal,897,,,
1910,44175,Orrios,418,,,
1910,44176,Palomar de Arroyos,654,,,
1910,44177,Pancrudo,1013,,,
1910,44178,Parras de Castellote Las,1201,,,
1910,44179,Peñarroya de Tastavins,1608,,,
1910,44180,Peracense,419,,,
1910,44181,Peralejos,272,,,
1910,44182,Perales del Alfambra,778,,,
1910,44183,Pitarque,883,,,
1910,44184,Plou,574,,,
1910,44185,Pobo El,556,,,
1910,44187,Portellada La,815,,,
1910,44189,Pozondón,592,,,
1910,44190,Pozuel del Campo,603,,,
1910,44191,La Puebla de Híjar,2360,,,
1910,44192,La Puebla de Valverde,2193,,,
1910,44193,Puertomingalvo,1406,,,
1910,44194,Ráfales,900,,,
1910,44195,Rillo,447,,,
1910,44196,Riodeva,697,,,
1910,44197,Ródenas,487,,,
1910,44198,Royuela,476,,,
1910,44199,Rubiales,269,,,
1910,44200,Rubielos de la Cérida,472,,,
1910,44201,Rubielos de Mora,2388,,,
1910,44203,Salcedillo,159,,,
1910,44204,Saldón,479,,,
1910,44205,Samper de Calanda,2815,,,
1910,44206,San Agustín,1240,,,
1910,44207,San Martín del Río,983,,,
1910,44208,Santa Cruz de Nogueras,367,,,
1910,44209,Santa Eulalia,1469,,,
1910,44210,Sarrión,2390,,,
1910,44211,Segura de los Baños,840,,,
1910,44212,Seno,455,,,
1910,44213,Singra,435,,,
1910,44215,Terriente,1145,,,
1910,44216,Teruel,15832,,,
1910,44217,Toril y Masegoso,362,,,
1910,44218,Tormón,267,,,
1910,44219,Tornos,584,,,
1910,44220,Torralba de los Sisones,623,,,
1910,44221,Torrecilla de Alcañiz,1128,,,
1910,44222,Torrecilla del Rebollar,849,,,
1910,44223,Torre de Arcas,463,,,
1910,44224,Torre de las Arcas,551,,,
1910,44225,Torre del Compte,790,,,
1910,44226,Torrelacárcel,635,,,
1910,44227,Torre los Negros,462,,,
1910,44228,Torremocha de Jiloca,458,,,
1910,44229,Torres de Albarracín,599,,,
1910,44230,Torrevelilla,890,,,
1910,44231,Torrijas,620,,,
1910,44232,Torrijo del Campo,1379,,,
1910,44234,Tramacastiel,608,,,
1910,44235,Tramacastilla,409,,,
1910,44236,Tronchón,991,,,
1910,44237,Urrea de Gaén,1258,,,
1910,44238,Utrillas,1196,,,
1910,44239,Valacloche,219,,,
1910,44240,Valbona,765,,,
1910,44241,Valdealgorfa,1819,,,
1910,44243,Valdecuenca,388,,,
1910,44244,Valdelinares,816,,,
1910,44245,Valdeltormo,774,,,
1910,44246,Valderrobres,3262,,,
1910,44247,Valjunquera,1297,,,
1910,44249,Vallecillo El,510,,,
1910,44250,Veguillas de la Sierra,272,,,
1910,44251,Villafranca del Campo,1027,,,
1910,44252,Villahermosa del Campo,248,,,
1910,44256,Villanueva del Rebollar de la Sierra,314,,,
1910,44257,Villar del Cobo,648,,,
1910,44258,Villar del Salz,644,,,
1910,44260,Villarluengo,1968,,,
1910,44261,Villarquemado,998,,,
1910,44262,Villarroya de los Pinares,942,,,
1910,44263,Villastar,731,,,
1910,44264,Villel,1210,,,
1910,44265,Vinaceite,654,,,
1910,44266,Visiedo,593,,,
1910,44267,Vivel del Río Martín,981,,,
1910,44268,La Zoma,167,,,
1920,44001,Ababuj,409,,,
1920,44002,Abejuela,696,,,
1920,44003,Aguatón,179,,,
1920,44004,Aguaviva,1761,,,
1920,44005,Aguilar del Alfambra,536,,,
1920,44006,Alacón,1070,,,
1920,44007,Alba,732,,,
1920,44008,Albalate del Arzobispo,4726,,,
1920,44009,Albarracín,1780,,,
1920,44010,Albentosa,1168,,,
1920,44011,Alcaine,1108,,,
1920,44012,Alcalá de la Selva,1667,,,
1920,44013,Alcañiz,8596,,,
1920,44014,Alcorisa,3654,,,
1920,44016,Alfambra,1399,,,
1920,44017,Aliaga,1638,,,
1920,44018,Almohaja,258,,,
1920,44019,Alobras,533,,,
1920,44020,Alpeñés,248,,,
1920,44021,Allepuz,941,,,
1920,44022,Alloza,1882,,,
1920,44023,Allueva,220,,,
1920,44024,Anadón,349,,,
1920,44025,Andorra,3084,,,
1920,44026,Arcos de las Salinas,1160,,,
1920,44027,Arens de Lledó,725,,,
1920,44028,Argente,699,,,
1920,44029,Ariño,1555,,,
1920,44031,Azaila,777,,,
1920,44032,Bádenas,368,,,
1920,44033,Báguena,1430,,,
1920,44034,Bañón,676,,,
1920,44035,Barrachina,658,,,
1920,44036,Bea,186,,,
1920,44037,Beceite,1965,,,
1920,44038,Belmonte de San José,745,,,
1920,44039,Bello,1275,,,
1920,44040,Berge,743,,,
1920,44041,Bezas,368,,,
1920,44042,Blancas,965,,,
1920,44043,Blesa,1392,,,
1920,44044,Bordón,567,,,
1920,44045,Bronchales,1110,,,
1920,44046,Bueña,419,,,
1920,44047,Burbáguena,1227,,,
1920,44048,Cabra de Mora,463,,,
1920,44049,Calaceite,2899,,,
1920,44050,Calamocha,7099,,,
1920,44051,Calanda,4251,,,
1920,44052,Calomarde,382,,,
1920,44053,Camañas,445,,,
1920,44054,Camarena de la Sierra,900,,,
1920,44055,Camarillas,717,,,
1920,44056,Caminreal,1649,,,
1920,44059,Cantavieja,2005,,,
1920,44060,Cañada de Benatanduz,522,,,
1920,44061,Cañada de Verich La,274,,,
1920,44062,Cañada Vellida,211,,,
1920,44063,Cañizar del Olivar,503,,,
1920,44064,Cascante del Río,576,,,
1920,44065,Castejón de Tornos,518,,,
1920,44066,Castel de Cabra,530,,,
1920,44067,Castelnou,505,,,
1920,44068,Castelserás,2186,,,
1920,44070,Castellar El,489,,,
1920,44071,Castellote,4890,,,
1920,44074,Cedrillas,1029,,,
1920,44075,Celadas,907,,,
1920,44076,Cella,3197,,,
1920,44077,Cerollera La,415,,,
1920,44080,Codoñera La,1223,,,
1920,44082,Corbalán,469,,,
1920,44084,Cortes de Aragón,519,,,
1920,44085,Cosa,419,,,
1920,44086,Cretas,1801,,,
1920,44087,Crivillén,845,,,
1920,44088,Cuba La,376,,,
1920,44089,Cubla,327,,,
1920,44090,Cucalón,515,,,
1920,44092,Cuervo El,567,,,
1920,44093,Cuevas de Almudén,252,,,
1920,44094,Cuevas Labradas,393,,,
1920,44096,Ejulve,1352,,,
1920,44097,Escorihuela,537,,,
1920,44099,Escucha,806,,,
1920,44100,Estercuel,1152,,,
1920,44101,Ferreruela de Huerva,297,,,
1920,44102,Fonfría,207,,,
1920,44103,Formiche Alto,962,,,
1920,44105,Fórnoles,792,,,
1920,44106,Fortanete,1355,,,
1920,44107,Foz-Calanda,710,,,
1920,44108,Fresneda La,2008,,,
1920,44109,Frías de Albarracín,672,,,
1920,44110,Fuenferrada,339,,,
1920,44111,Fuentes Calientes,268,,,
1920,44112,Fuentes Claras,1178,,,
1920,44113,Fuentes de Rubielos,871,,,
1920,44114,Fuentespalda,821,,,
1920,44115,Galve,407,,,
1920,44116,Gargallo,614,,,
1920,44117,Gea de Albarracín,1076,,,
1920,44118,Ginebrosa La,991,,,
1920,44119,Griegos,481,,,
1920,44120,Guadalaviar,631,,,
1920,44121,Gúdar,657,,,
1920,44122,Híjar,3850,,,
1920,44123,Hinojosa de Jarque,510,,,
1920,44124,Hoz de la Vieja La,977,,,
1920,44125,Huesa del Común,1223,,,
1920,44126,Iglesuela del Cid La,1430,,,
1920,44127,Jabaloyas,708,,,
1920,44128,Jarque de la Val,338,,,
1920,44129,Jatiel,257,,,
1920,44130,Jorcas,384,,,
1920,44131,Josa,526,,,
1920,44132,Lagueruela,283,,,
1920,44133,Lanzuela,238,,,
1920,44135,Libros,794,,,
1920,44136,Lidón,345,,,
1920,44137,Linares de Mora,1515,,,
1920,44138,Loscos,1461,,,
