cp,municipio,year,population
44018,Almohaja,2015,20
44018,Almohaja,2014,21
44018,Almohaja,2013,21
44018,Almohaja,2012,28
44018,Almohaja,2011,29
44018,Almohaja,2010,29
44019,Alobras,2020,64
44019,Alobras,2019,64
44019,Alobras,2018,62
44019,Alobras,2017,65
44019,Alobras,2016,63
44019,Alobras,2015,70
44019,Alobras,2014,75
44019,Alobras,2013,79
44019,Alobras,2012,79
44019,Alobras,2011,75
44019,Alobras,2010,70
44020,Alpeñés,2020,21
44020,Alpeñés,2019,22
44020,Alpeñés,2018,22
44020,Alpeñés,2017,23
44020,Alpeñés,2016,23
44020,Alpeñés,2015,21
44020,Alpeñés,2014,19
44020,Alpeñés,2013,19
44020,Alpeñés,2012,25
44020,Alpeñés,2011,26
44020,Alpeñés,2010,27
44024,Anadón,2020,32
44024,Anadón,2019,28
44024,Anadón,2018,27
44024,Anadón,2017,27
44024,Anadón,2016,27
44024,Anadón,2015,25
44024,Anadón,2014,24
44024,Anadón,2013,23
44024,Anadón,2012,27
44024,Anadón,2011,24
44024,Anadón,2010,21
44025,Andorra,2020,7345
44025,Andorra,2019,7472
44025,Andorra,2018,7633
44025,Andorra,2017,7799
44025,Andorra,2016,7875
44025,Andorra,2015,8065
44025,Andorra,2014,8148
44025,Andorra,2013,8278
44025,Andorra,2012,8266
44025,Andorra,2011,8324
44025,Andorra,2010,8367
44026,Arcos de las Salinas,2020,118
44026,Arcos de las Salinas,2019,119
44026,Arcos de las Salinas,2018,105
44026,Arcos de las Salinas,2017,106
44026,Arcos de las Salinas,2016,106
44026,Arcos de las Salinas,2015,105
44026,Arcos de las Salinas,2014,100
44026,Arcos de las Salinas,2013,96
44026,Arcos de las Salinas,2012,105
44026,Arcos de las Salinas,2011,100
44026,Arcos de las Salinas,2010,111
44027,Arens de Lledó,2020,205
44027,Arens de Lledó,2019,211
44027,Arens de Lledó,2018,206
44027,Arens de Lledó,2017,199
44027,Arens de Lledó,2016,212
44027,Arens de Lledó,2015,206
44027,Arens de Lledó,2014,208
44027,Arens de Lledó,2013,215
44027,Arens de Lledó,2012,205
44027,Arens de Lledó,2011,196
44027,Arens de Lledó,2010,213
44028,Argente,2020,193
44028,Argente,2019,195
44028,Argente,2018,198
44028,Argente,2017,207
44028,Argente,2016,207
44028,Argente,2015,214
44028,Argente,2014,217
44028,Argente,2013,225
44028,Argente,2012,224
44028,Argente,2011,223
44028,Argente,2010,232
44029,Ariño,2020,714
44029,Ariño,2019,724
44029,Ariño,2018,708
44029,Ariño,2017,733
44029,Ariño,2016,738
44029,Ariño,2015,763
44029,Ariño,2014,775
44029,Ariño,2013,769
44029,Ariño,2012,893
44029,Ariño,2011,914
44029,Ariño,2010,925
44031,Azaila,2020,93
44031,Azaila,2019,90
44031,Azaila,2018,94
44031,Azaila,2017,97
44031,Azaila,2016,106
44031,Azaila,2015,116
44031,Azaila,2014,119
44031,Azaila,2013,124
44031,Azaila,2012,133
44031,Azaila,2011,148
44031,Azaila,2010,139
44032,Bádenas,2020,19
44032,Bádenas,2019,19
44032,Bádenas,2018,20
44032,Bádenas,2017,18
44032,Bádenas,2016,19
44032,Bádenas,2015,19
44032,Bádenas,2014,19
44032,Bádenas,2013,20
44032,Bádenas,2012,21
44032,Bádenas,2011,21
44032,Bádenas,2010,22
44033,Báguena,2020,285
44033,Báguena,2019,287
44033,Báguena,2018,311
44033,Báguena,2017,318
44033,Báguena,2016,316
44033,Báguena,2015,327
44033,Báguena,2014,337
44033,Báguena,2013,353
44033,Báguena,2012,370
44033,Báguena,2011,386
44033,Báguena,2010,398
44034,Bañón,2020,146
44034,Bañón,2019,144
44034,Bañón,2018,153
44034,Bañón,2017,149
44034,Bañón,2016,158
44034,Bañón,2015,150
44034,Bañón,2014,154
44034,Bañón,2013,163
44034,Bañón,2012,162
44034,Bañón,2011,165
44034,Bañón,2010,167
44035,Barrachina,2020,109
44035,Barrachina,2019,112
44035,Barrachina,2018,118
44035,Barrachina,2017,121
44035,Barrachina,2016,129
44035,Barrachina,2015,133
44035,Barrachina,2014,137
44035,Barrachina,2013,148
44035,Barrachina,2012,143
44035,Barrachina,2011,145
44035,Barrachina,2010,167
44036,Bea,2020,29
44036,Bea,2019,31
44036,Bea,2018,31
44036,Bea,2017,30
44036,Bea,2016,35
44036,Bea,2015,26
44036,Bea,2014,28
44036,Bea,2013,30
44036,Bea,2012,30
44036,Bea,2011,32
44036,Bea,2010,37
44037,Beceite,2020,531
44037,Beceite,2019,541
44037,Beceite,2018,541
44037,Beceite,2017,551
44037,Beceite,2016,561
44037,Beceite,2015,566
44037,Beceite,2014,583
44037,Beceite,2013,599
44037,Beceite,2012,607
44037,Beceite,2011,608
44037,Beceite,2010,608
44039,Bello,2020,219
44039,Bello,2019,224
44039,Bello,2018,225
44039,Bello,2017,244
44039,Bello,2016,245
44039,Bello,2015,238
44039,Bello,2014,244
44039,Bello,2013,250
44039,Bello,2012,282
44039,Bello,2011,274
44039,Bello,2010,284
44038,Belmonte de San José,2020,123
44038,Belmonte de San José,2019,113
44038,Belmonte de San José,2018,113
44038,Belmonte de San José,2017,113
44038,Belmonte de San José,2016,119
44038,Belmonte de San José,2015,117
44038,Belmonte de San José,2014,120
44038,Belmonte de San José,2013,117
44038,Belmonte de San José,2012,126
44038,Belmonte de San José,2011,129
44038,Belmonte de San José,2010,137
44040,Berge,2020,241
44040,Berge,2019,235
44040,Berge,2018,244
44040,Berge,2017,245
44040,Berge,2016,248
44040,Berge,2015,246
44040,Berge,2014,247
44040,Berge,2013,251
44040,Berge,2012,254
44040,Berge,2011,264
44040,Berge,2010,274
44041,Bezas,2020,67
44041,Bezas,2019,70
44041,Bezas,2018,70
44041,Bezas,2017,62
44041,Bezas,2016,65
44041,Bezas,2015,67
44041,Bezas,2014,77
44041,Bezas,2013,75
44041,Bezas,2012,78
44041,Bezas,2011,82
44041,Bezas,2010,79
44042,Blancas,2020,125
44042,Blancas,2019,126
44042,Blancas,2018,125
44042,Blancas,2017,134
44042,Blancas,2016,147
44042,Blancas,2015,149
44042,Blancas,2014,152
44042,Blancas,2013,157
44042,Blancas,2012,158
44042,Blancas,2011,154
44042,Blancas,2010,166
44043,Blesa,2020,92
44043,Blesa,2019,94
44043,Blesa,2018,95
44043,Blesa,2017,97
44043,Blesa,2016,101
44043,Blesa,2015,109
44043,Blesa,2014,109
44043,Blesa,2013,118
44043,Blesa,2012,125
44043,Blesa,2011,132
44043,Blesa,2010,121
44044,Bordón,2020,105
44044,Bordón,2019,100
44044,Bordón,2018,106
44044,Bordón,2017,108
44044,Bordón,2016,114
44044,Bordón,2015,117
44044,Bordón,2014,114
44044,Bordón,2013,120
44044,Bordón,2012,131
44044,Bordón,2011,146
44044,Bordón,2010,141
44045,Bronchales,2020,417
44045,Bronchales,2019,432
44045,Bronchales,2018,443
44045,Bronchales,2017,440
44045,Bronchales,2016,417
44045,Bronchales,2015,423
44045,Bronchales,2014,427
44045,Bronchales,2013,461
44045,Bronchales,2012,472
44045,Bronchales,2011,469
44045,Bronchales,2010,480
44046,Bueña,2020,49
44046,Bueña,2019,50
44046,Bueña,2018,63
44046,Bueña,2017,57
44046,Bueña,2016,53
44046,Bueña,2015,55
44046,Bueña,2014,62
44046,Bueña,2013,62
44046,Bueña,2012,63
44046,Bueña,2011,65
44046,Bueña,2010,67
44047,Burbáguena,2020,211
44047,Burbáguena,2019,249
44047,Burbáguena,2018,243
44047,Burbáguena,2017,254
44047,Burbáguena,2016,254
44047,Burbáguena,2015,254
44047,Burbáguena,2014,281
44047,Burbáguena,2013,294
44047,Burbáguena,2012,292
44047,Burbáguena,2011,300
44047,Burbáguena,2010,296
44048,Cabra de Mora,2020,51
44048,Cabra de Mora,2019,54
44048,Cabra de Mora,2018,55
44048,Cabra de Mora,2017,64
44048,Cabra de Mora,2016,68
44048,Cabra de Mora,2015,73
44048,Cabra de Mora,2014,70
44048,Cabra de Mora,2013,66
44048,Cabra de Mora,2012,79
44048,Cabra de Mora,2011,87
44048,Cabra de Mora,2010,88
44049,Calaceite,2020,978
44049,Calaceite,2019,994
44049,Calaceite,2018,1011
44049,Calaceite,2017,1038
44049,Calaceite,2016,1039
44049,Calaceite,2015,1052
44049,Calaceite,2014,1076
44049,Calaceite,2013,1106
44049,Calaceite,2012,1105
44049,Calaceite,2011,1143
44049,Calaceite,2010,1145
44050,Calamocha,2020,4429
44050,Calamocha,2019,4339
44050,Calamocha,2018,4319
44050,Calamocha,2017,4353
44050,Calamocha,2016,4368
44050,Calamocha,2015,4417
44050,Calamocha,2014,4469
44050,Calamocha,2013,4515
44050,Calamocha,2012,4579
44050,Calamocha,2011,4628
44050,Calamocha,2010,4649
44051,Calanda,2020,3822
44051,Calanda,2019,3748
44051,Calanda,2018,3708
44051,Calanda,2017,3729
44051,Calanda,2016,3846
44051,Calanda,2015,3893
44051,Calanda,2014,3920
44051,Calanda,2013,3949
44051,Calanda,2012,3956
44051,Calanda,2011,4004
44051,Calanda,2010,4004
44052,Calomarde,2020,74
44052,Calomarde,2019,75
44052,Calomarde,2018,74
44052,Calomarde,2017,78
44052,Calomarde,2016,80
44052,Calomarde,2015,87
44052,Calomarde,2014,88
44052,Calomarde,2013,84
44052,Calomarde,2012,90
44052,Calomarde,2011,103
44052,Calomarde,2010,84
44053,Camañas,2020,133
44053,Camañas,2019,134
44053,Camañas,2018,124
44053,Camañas,2017,129
44053,Camañas,2016,130
44053,Camañas,2015,125
44053,Camañas,2014,128
44053,Camañas,2013,127
44053,Camañas,2012,135
44053,Camañas,2011,125
44053,Camañas,2010,125
44054,Camarena de la Sierra,2020,107
44054,Camarena de la Sierra,2019,105
44054,Camarena de la Sierra,2018,113
44054,Camarena de la Sierra,2017,116
44054,Camarena de la Sierra,2016,127
44054,Camarena de la Sierra,2015,123
44054,Camarena de la Sierra,2014,137
44054,Camarena de la Sierra,2013,138
44054,Camarena de la Sierra,2012,145
44054,Camarena de la Sierra,2011,159
44054,Camarena de la Sierra,2010,165
44055,Camarillas,2020,92
44055,Camarillas,2019,100
44055,Camarillas,2018,86
44055,Camarillas,2017,89
44055,Camarillas,2016,94
44055,Camarillas,2015,99
44055,Camarillas,2014,103
44055,Camarillas,2013,110
44055,Camarillas,2012,117
44055,Camarillas,2011,130
44055,Camarillas,2010,119
44056,Caminreal,2020,615
44056,Caminreal,2019,620
44056,Caminreal,2018,619
44056,Caminreal,2017,616
44056,Caminreal,2016,637
44056,Caminreal,2015,659
44056,Caminreal,2014,684
44056,Caminreal,2013,724
44056,Caminreal,2012,735
44056,Caminreal,2011,718
44056,Caminreal,2010,758
44059,Cantavieja,2020,729
44059,Cantavieja,2019,709
44059,Cantavieja,2018,714
44059,Cantavieja,2017,717
44059,Cantavieja,2016,712
44059,Cantavieja,2015,741
44059,Cantavieja,2014,724
44059,Cantavieja,2013,724
44059,Cantavieja,2012,745
44059,Cantavieja,2011,757
44059,Cantavieja,2010,748
44060,Cañada de Benatanduz,2020,33
44060,Cañada de Benatanduz,2019,36
44060,Cañada de Benatanduz,2018,39
44060,Cañada de Benatanduz,2017,42
44060,Cañada de Benatanduz,2016,41
44060,Cañada de Benatanduz,2015,41
44060,Cañada de Benatanduz,2014,41
44060,Cañada de Benatanduz,2013,38
44060,Cañada de Benatanduz,2012,39
44060,Cañada de Benatanduz,2011,41
44060,Cañada de Benatanduz,2010,42
44061,Cañada de Verich,La,2020,92
44061,Cañada de Verich,La,2019,89
44061,Cañada de Verich,La,2018,87
44061,Cañada de Verich,La,2017,85
44061,Cañada de Verich,La,2016,94
44061,Cañada de Verich,La,2015,102
44061,Cañada de Verich,La,2014,102
44061,Cañada de Verich,La,2013,94
44061,Cañada de Verich,La,2012,106
44061,Cañada de Verich,La,2011,112
44061,Cañada de Verich,La,2010,111
44062,Cañada Vellida,2020,36
44062,Cañada Vellida,2019,31
44062,Cañada Vellida,2018,35
44062,Cañada Vellida,2017,35
44062,Cañada Vellida,2016,35
44062,Cañada Vellida,2015,36
44062,Cañada Vellida,2014,37
44062,Cañada Vellida,2013,38
44062,Cañada Vellida,2012,38
44062,Cañada Vellida,2011,40
44062,Cañada Vellida,2010,42
44063,Cañizar del Olivar,2020,100
44063,Cañizar del Olivar,2019,100
44063,Cañizar del Olivar,2018,98
44063,Cañizar del Olivar,2017,93
44063,Cañizar del Olivar,2016,94
44063,Cañizar del Olivar,2015,103
44063,Cañizar del Olivar,2014,99
44063,Cañizar del Olivar,2013,98
44063,Cañizar del Olivar,2012,110
44063,Cañizar del Olivar,2011,106
44063,Cañizar del Olivar,2010,109
44064,Cascante del Río,2020,67
44064,Cascante del Río,2019,67
44064,Cascante del Río,2018,71
44064,Cascante del Río,2017,73
44064,Cascante del Río,2016,74
44064,Cascante del Río,2015,80
44064,Cascante del Río,2014,82
44064,Cascante del Río,2013,80
44064,Cascante del Río,2012,91
44064,Cascante del Río,2011,102
44064,Cascante del Río,2010,79
44065,Castejón de Tornos,2020,55
44065,Castejón de Tornos,2019,60
44065,Castejón de Tornos,2018,62
44065,Castejón de Tornos,2017,62
44065,Castejón de Tornos,2016,62
44065,Castejón de Tornos,2015,60
44065,Castejón de Tornos,2014,63
44065,Castejón de Tornos,2013,66
44065,Castejón de Tornos,2012,64
44065,Castejón de Tornos,2011,68
44065,Castejón de Tornos,2010,70
44066,Castel de Cabra,2020,93
44066,Castel de Cabra,2019,96
44066,Castel de Cabra,2018,104
44066,Castel de Cabra,2017,112
44066,Castel de Cabra,2016,120
44066,Castel de Cabra,2015,122
44066,Castel de Cabra,2014,128
44066,Castel de Cabra,2013,131
44066,Castel de Cabra,2012,138
44066,Castel de Cabra,2011,140
44066,Castel de Cabra,2010,140
44070,Castellar,El,2020,55
44070,Castellar,El,2019,58
44070,Castellar,El,2018,52
44070,Castellar,El,2017,54
44070,Castellar,El,2016,56
44070,Castellar,El,2015,58
44070,Castellar,El,2014,60
44070,Castellar,El,2013,62
44070,Castellar,El,2012,64
44070,Castellar,El,2011,69
44070,Castellar,El,2010,68
44071,Castellote,2020,676
44071,Castellote,2019,681
44071,Castellote,2018,676
44071,Castellote,2017,688
44071,Castellote,2016,706
44071,Castellote,2015,728
44071,Castellote,2014,754
44071,Castellote,2013,782
44071,Castellote,2012,794
44071,Castellote,2011,805
44071,Castellote,2010,804
44067,Castelnou,2020,134
44067,Castelnou,2019,141
44067,Castelnou,2018,160
44067,Castelnou,2017,146
44067,Castelnou,2016,137
44067,Castelnou,2015,142
44067,Castelnou,2014,140
44067,Castelnou,2013,152
44067,Castelnou,2012,177
44067,Castelnou,2011,120
44067,Castelnou,2010,120
44068,Castelserás,2020,800
44068,Castelserás,2019,815
44068,Castelserás,2018,831
44068,Castelserás,2017,823
44068,Castelserás,2016,827
44068,Castelserás,2015,840
44068,Castelserás,2014,830
44068,Castelserás,2013,833
44068,Castelserás,2012,834
44068,Castelserás,2011,832
44068,Castelserás,2010,831
44074,Cedrillas,2020,639
44074,Cedrillas,2019,664
44074,Cedrillas,2018,630
44074,Cedrillas,2017,611
44074,Cedrillas,2016,619
44074,Cedrillas,2015,619
44074,Cedrillas,2014,619
44074,Cedrillas,2013,630
44074,Cedrillas,2012,631
44074,Cedrillas,2011,620
44074,Cedrillas,2010,623
44075,Celadas,2020,367
44075,Celadas,2019,388
44075,Celadas,2018,396
44075,Celadas,2017,408
44075,Celadas,2016,403
44075,Celadas,2015,398
44075,Celadas,2014,399
44075,Celadas,2013,404
44075,Celadas,2012,406
44075,Celadas,2011,434
44075,Celadas,2010,440
44076,Cella,2020,2571
44076,Cella,2019,2574
44076,Cella,2018,2606
44076,Cella,2017,2640
44076,Cella,2016,2673
44076,Cella,2015,2776
44076,Cella,2014,2818
44076,Cella,2013,2886
44076,Cella,2012,2878
44076,Cella,2011,2905
44076,Cella,2010,2951
44077,Cerollera,La,2020,88
44077,Cerollera,La,2019,93
44077,Cerollera,La,2018,100
44077,Cerollera,La,2017,98
44077,Cerollera,La,2016,96
44077,Cerollera,La,2015,106
44077,Cerollera,La,2014,106
44077,Cerollera,La,2013,104
44077,Cerollera,La,2012,116
44077,Cerollera,La,2011,103
44077,Cerollera,La,2010,113
44080,Codoñera,La,2020,319
44080,Codoñera,La,2019,336
44080,Codoñera,La,2018,344
44080,Codoñera,La,2017,362
44080,Codoñera,La,2016,368
44080,Codoñera,La,2015,365
44080,Codoñera,La,2014,374
44080,Codoñera,La,2013,368
44080,Codoñera,La,2012,377
44080,Codoñera,La,2011,387
44080,Codoñera,La,2010,397
44082,Corbalán,2020,109
44082,Corbalán,2019,107
44082,Corbalán,2018,109
44082,Corbalán,2017,109
44082,Corbalán,2016,109
44082,Corbalán,2015,110
44082,Corbalán,2014,106
44082,Corbalán,2013,109
44082,Corbalán,2012,107
44082,Corbalán,2011,102
44082,Corbalán,2010,99
44084,Cortes de Aragón,2020,60
44084,Cortes de Aragón,2019,61
44084,Cortes de Aragón,2018,61
44084,Cortes de Aragón,2017,57
44084,Cortes de Aragón,2016,63
44084,Cortes de Aragón,2015,58
44084,Cortes de Aragón,2014,61
44084,Cortes de Aragón,2013,57
44084,Cortes de Aragón,2012,72
44084,Cortes de Aragón,2011,76
44084,Cortes de Aragón,2010,75
44085,Cosa,2020,51
44085,Cosa,2019,50
44085,Cosa,2018,52
44085,Cosa,2017,55
44085,Cosa,2016,55
44085,Cosa,2015,57
44085,Cosa,2014,56
44085,Cosa,2013,60
44085,Cosa,2012,61
44085,Cosa,2011,60
44085,Cosa,2010,64
44086,Cretas,2020,554
44086,Cretas,2019,567
44086,Cretas,2018,571
44086,Cretas,2017,572
44086,Cretas,2016,554
44086,Cretas,2015,573
44086,Cretas,2014,601
44086,Cretas,2013,597
44086,Cretas,2012,598
44086,Cretas,2011,607
44086,Cretas,2010,618
44087,Crivillén,2020,86
44087,Crivillén,2019,62
44087,Crivillén,2018,68
44087,Crivillén,2017,71
44087,Crivillén,2016,71
44087,Crivillén,2015,74
44087,Crivillén,2014,75
44087,Crivillén,2013,76
44087,Crivillén,2012,88
44087,Crivillén,2011,92
44087,Crivillén,2010,93
44088,Cuba,La,2020,43
44088,Cuba,La,2019,43
44088,Cuba,La,2018,41
44088,Cuba,La,2017,36
44088,Cuba,La,2016,38
44088,Cuba,La,2015,37
44088,Cuba,La,2014,45
44088,Cuba,La,2013,47
44088,Cuba,La,2012,50
44088,Cuba,La,2011,52
44088,Cuba,La,2010,52
44089,Cubla,2020,55
44089,Cubla,2019,58
44089,Cubla,2018,54
44089,Cubla,2017,55
44089,Cubla,2016,52
44089,Cubla,2015,54
44089,Cubla,2014,55
44089,Cubla,2013,61
44089,Cubla,2012,62
44089,Cubla,2011,68
44089,Cubla,2010,61
44090,Cucalón,2020,78
44090,Cucalón,2019,78
44090,Cucalón,2018,80
44090,Cucalón,2017,91
44090,Cucalón,2016,96
44090,Cucalón,2015,104
44090,Cucalón,2014,103
44090,Cucalón,2013,110
44090,Cucalón,2012,108
44090,Cucalón,2011,101
44090,Cucalón,2010,102
44092,Cuervo,El,2020,80
44092,Cuervo,El,2019,78
44092,Cuervo,El,2018,86
44092,Cuervo,El,2017,93
44092,Cuervo,El,2016,89
44092,Cuervo,El,2015,87
44092,Cuervo,El,2014,85
44092,Cuervo,El,2013,98
44092,Cuervo,El,2012,91
44092,Cuervo,El,2011,101
44092,Cuervo,El,2010,107
44093,Cuevas de Almudén,2020,118
44093,Cuevas de Almudén,2019,126
44093,Cuevas de Almudén,2018,122
44093,Cuevas de Almudén,2017,138
44093,Cuevas de Almudén,2016,141
44093,Cuevas de Almudén,2015,140
44093,Cuevas de Almudén,2014,145
44093,Cuevas de Almudén,2013,141
44093,Cuevas de Almudén,2012,148
44093,Cuevas de Almudén,2011,141
44093,Cuevas de Almudén,2010,133
44094,Cuevas Labradas,2020,137
44094,Cuevas Labradas,2019,132
44094,Cuevas Labradas,2018,131
44094,Cuevas Labradas,2017,126
44094,Cuevas Labradas,2016,127
44094,Cuevas Labradas,2015,123
44094,Cuevas Labradas,2014,127
44094,Cuevas Labradas,2013,135
44094,Cuevas Labradas,2012,128
44094,Cuevas Labradas,2011,135
44094,Cuevas Labradas,2010,141
44096,Ejulve,2020,177
44096,Ejulve,2019,175
44096,Ejulve,2018,180
44096,Ejulve,2017,187
44096,Ejulve,2016,189
44096,Ejulve,2015,200
44096,Ejulve,2014,194
44096,Ejulve,2013,204
44096,Ejulve,2012,208
44096,Ejulve,2011,203
44096,Ejulve,2010,198
44097,Escorihuela,2020,136
44097,Escorihuela,2019,136
44097,Escorihuela,2018,139
44097,Escorihuela,2017,147
44097,Escorihuela,2016,152
44097,Escorihuela,2015,158
44097,Escorihuela,2014,160
44097,Escorihuela,2013,162
44097,Escorihuela,2012,177
44097,Escorihuela,2011,183
44097,Escorihuela,2010,185
44099,Escucha,2020,801
44099,Escucha,2019,852
44099,Escucha,2018,885
44099,Escucha,2017,913
44099,Escucha,2016,954
44099,Escucha,2015,953
44099,Escucha,2014,981
44099,Escucha,2013,1003
44099,Escucha,2012,995
44099,Escucha,2011,1019
44099,Escucha,2010,1015
44100,Estercuel,2020,205
44100,Estercuel,2019,203
44100,Estercuel,2018,210
44100,Estercuel,2017,223
44100,Estercuel,2016,237
44100,Estercuel,2015,229
44100,Estercuel,2014,230
44100,Estercuel,2013,261
44100,Estercuel,2012,259
44100,Estercuel,2011,272
44100,Estercuel,2010,271
