year,cp,name,population
2019,44107, Foz-Calanda,245,
2019,44108, Fresneda La,438,
2019,44109, Frías de Albarracín,115,
2019,44110, Fuenferrada,37,
2019,44111, Fuentes Calientes,92,
2019,44112, Fuentes Claras,461,
2019,44113, Fuentes de Rubielos,118,
2019,44114, Fuentespalda,284,
2019,44115, Galve,162,
2019,44116, Gargallo,93,
2019,44117, Gea de Albarracín,360,
2019,44118, Ginebrosa La,194,
2019,44119, Griegos,136,
2019,44120, Guadalaviar,241,
2019,44121, Gúdar,76,
2019,44122, Híjar,1.721,
2019,44123, Hinojosa de Jarque,111,
2019,44124, Hoz de la Vieja La,83,
2019,44125, Huesa del Común,73,
2019,44126, Iglesuela del Cid La,410,
2019,44127, Jabaloyas,63,
2019,44128, Jarque de la Val,66,
2019,44129, Jatiel,37,
2019,44130, Jorcas,30,
2019,44131, Josa,34,
2019,44132, Lagueruela,73,
2019,44133, Lanzuela,22,
2019,44135, Libros,102,
2019,44136, Lidón,57,
2019,44137, Linares de Mora,234,
2019,44138, Loscos,122,
2019,44141, Lledó,159,
2019,44142, Maicas,28,
2019,44143, Manzanera,531,
2019,44144, Martín del Río,401,
2019,44145, Mas de las Matas,1.262,
2019,44146, Mata de los Olmos La,257,
2019,44147, Mazaleón,522,
2019,44148, Mezquita de Jarque,96,
2019,44149, Mirambel,116,
2019,44150, Miravete de la Sierra,31,
2019,44151, Molinos,239,
2019,44152, Monforte de Moyuela,67,
2019,44153, Monreal del Campo,2.434,
2019,44154, Monroyo,340,
2019,44155, Montalbán,1.233,
2019,44156, Monteagudo del Castillo,54,
2019,44157, Monterde de Albarracín,64,
2019,44158, Mora de Rubielos,1.548,
2019,44159, Moscardón,54,
2019,44160, Mosqueruela,537,
2019,44161, Muniesa,583,
2019,44163, Noguera de Albarracín,140,
2019,44164, Nogueras,22,
2019,44165, Nogueruelas,217,
2019,44167, Obón,44,
2019,44168, Odón,206,
2019,44169, Ojos Negros,360,
2019,44171, Olba,228,
2019,44172, Oliete,351,
2019,44173, Olmos Los,120,
2019,44174, Orihuela del Tremedal,463,
2019,44175, Orrios,125,
2019,44176, Palomar de Arroyos,168,
2019,44177, Pancrudo,113,
2019,44178, Parras de Castellote Las,55,
2019,44179, Peñarroya de Tastavins,439,
2019,44180, Peracense,77,
2019,44181, Peralejos,79,
2019,44182, Perales del Alfambra,229,
2019,44183, Pitarque,73,
2019,44184, Plou,43,
2019,44185, Pobo El,110,
2019,44187, Portellada La,235,
2019,44189, Pozondón,50,
2019,44190, Pozuel del Campo,65,
2019,44191, Puebla de Híjar La,897,
2019,44192, Puebla de Valverde La,457,
2019,44193, Puertomingalvo,109,
2019,44194, Ráfales,138,
2019,44195, Rillo,88,
2019,44196, Riodeva,142,
2019,44197, Ródenas,63,
2019,44198, Royuela,204,
2019,44199, Rubiales,52,
2019,44200, Rubielos de la Cérida,39,
2019,44201, Rubielos de Mora,621,
2019,44203, Salcedillo,14,
2019,44204, Saldón,27,
2019,44205, Samper de Calanda,755,
2019,44206, San Agustín,119,
2019,44207, San Martín del Río,137,
2019,44208, Santa Cruz de Nogueras,29,
2019,44209, Santa Eulalia,1.061,
2019,44210, Sarrión,1.128,
2019,44211, Segura de los Baños,38,
2019,44212, Seno,43,
2019,44213, Singra,75,
2019,44215, Terriente,183,
2019,44216, Teruel,35.890,
2019,44217, Toril y Masegoso,32,
2019,44218, Tormón,30,
2019,44219, Tornos,206,
2019,44220, Torralba de los Sisones,155,
2019,44221, Torrecilla de Alcañiz,433,
2019,44222, Torrecilla del Rebollar,124,
2019,44223, Torre de Arcas,90,
2019,44224, Torre de las Arcas,28,
2019,44225, Torre del Compte,120,
2019,44226, Torrelacárcel,151,
2019,44227, Torre los Negros,84,
2019,44228, Torremocha de Jiloca,109,
2019,44229, Torres de Albarracín,180,
2019,44230, Torrevelilla,186,
2019,44231, Torrijas,41,
2019,44232, Torrijo del Campo,455,
2019,44234, Tramacastiel,72,
2019,44235, Tramacastilla,103,
2019,44236, Tronchón,67,
2019,44237, Urrea de Gaén,435,
2019,44238, Utrillas,2.978,
2019,44239, Valacloche,22,
2019,44240, Valbona,167,
2019,44241, Valdealgorfa,612,
2019,44243, Valdecuenca,34,
2019,44244, Valdelinares,88,
2019,44245, Valdeltormo,283,
2019,44246, Valderrobres,2.425,
2019,44247, Valjunquera,330,
2019,44249, Vallecillo El,47,
2019,44250, Veguillas de la Sierra,19,
2019,44251, Villafranca del Campo,298,
2019,44252, Villahermosa del Campo,89,
2019,44256, Villanueva del Rebollar de la Sierra,39,
2019,44257, Villar del Cobo,164,
2019,44258, Villar del Salz,55,
2019,44260, Villarluengo,170,
2019,44261, Villarquemado,863,
2019,44262, Villarroya de los Pinares,172,
2019,44263, Villastar,505,
2019,44264, Villel,329,
2019,44265, Vinaceite,251,
2019,44266, Visiedo,119,
2019,44267, Vivel del Río Martín,73,
2019,44268, Zoma La,33,
